Job Title,Company,Location,Time Of Work,Job Description
Network Systems Engineer (Pre-Sales) - Cloud Networking,"Arista Networks, Inc. -","Riyadh, Saudi Arabia ",Full Time,Not specified · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Engineering · Computer Engineering · Installation · Networking · Networks
CRM - Solutions Designer,Persistence Recruitment -,"Riyadh, Saudi Arabia ",Full Time,Not specified · Customer Service/Support · IT/Software Development · Sales/Retail · CRM · Sales · Sales Skills · Customer Service · Customer Support · Sales Target · Customer Care
Construction Apps - Solutions Delivery Manager,Persistence Recruitment -,"Riyadh, Saudi Arabia ",Full Time,Not specified · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · computer science · information technology (it) · software development · javascript · quality · project management · technology
IT Business Analyst - Saudi National Preferred,Persistence Recruitment -,"Riyadh, Saudi Arabia ",Full Time,Not specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Business Analysis · Information Technology (IT) · Computer Science · Analysis · Software Development · Software · Computer Engineering
Full-Stack .NET Web Developer,Nahr Development -,"Mokattam, Cairo, Egypt ",Full Time,Entry Level · 6 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · ASP.NET · .NET · C# · Microsoft SQL Server · ADO.NET · JavaScript · MVC
Salesforce Senior Developer,Confidential -,"Cairo, Egypt ",Full Time,Experienced · 2 - 5 Yrs of Exp · IT/Software Development · APIs · Computer Science · SOAP · Programming · REST
Strategic Security - GRC Consultant,Help AG -,"Dubai, United Arab Emirates ",Full Time,Not specified · IT/Software Development · Sales/Retail · Engineering - Telecom/Technology · information technology (it) · computer science · sales · sales skills · management · business development · analysis
Executive Support Specialist,Foreground Consultancy -,"Doha, Qatar ",Full Time,Not specified · Customer Service/Support · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Customer Support · Customer Service · Customer Care · Technical Support · Computer Science · Installation
SR PLANNING AND BUSINESS SUPPORT SPECIALIST,Mekdam Holding Group -,"Doha, Qatar ",Full Time,Not specified · Business Development · Customer Service/Support · IT/Software Development · Business Development · Customer Service · Customer Care · Customer Support · Business Administration · Computer Science · Information Technology (IT)
Network Admin Support Lead,Foreground Consultancy -,"Doha, Qatar ",Full Time,Not specified · IT/Software Development · Sales/Retail · Engineering - Telecom/Technology · information technology (it) · sales · computer science · sales skills · engineering · administration · admin
Lead of Site Planning EPC-3/4 (N-1217-1),Mekdam Holding Group -,"Doha, Qatar ",Full Time,Not specified · IT/Software Development · Marketing/PR/Advertising · Engineering - Telecom/Technology · information technology (it) · engineering · computer science · sales · english · sap · software
Business Analyst - Saudi National Preferred,Persistence Recruitment -,"Riyadh, Saudi Arabia ",Full Time,Not specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Business Analysis · Information Technology (IT) · Computer Science · Analysis · Software Development · Software · Computer Engineering
Experience Management Lead - Assurance (Workforce planning),Ernst & Young - MENA -,"Riyadh, Saudi Arabia ",Full Time,Manager · Customer Service/Support · Operations/Management · Sales/Retail · Sales · Customer Care · Customer Service · Management · Customer Support · Information Technology (IT) · Sales Skills
GRC Consultant,Help AG -,"Riyadh, Saudi Arabia ",Full Time,Not specified · IT/Software Development · Engineering - Telecom/Technology · Training/Instructor · information technology (it) · computer science · computer engineering · cissp · cisa · cism · iso
Senior SEO Specialist,BayanTech -,"Cairo, Egypt ",Full Time,Not specified · Human Resources · Marketing/PR/Advertising · Media/Journalism/Publishing · Marketing · Social Media · SEO · E-marketing · Digital Marketing · Media · Human Resources (HR)
IT Manager,Noases -,"Nasr City, Cairo, Egypt ",Full Time,Manager · 10 - 15 Yrs of Exp · IT/Software Development · computer · Computer Engineering · Communication · Information technology · Information Technology (IT) · Infrastructure · IT · Computer Science · technical
Business Analyst,Informatique Education -,"Nasr City, Cairo, Egypt ",Full Time,Experienced · 1 - 3 Yrs of Exp · IT/Software Development · Analysis · Business Analysis · business · Communication skills · Computer Science · Information Technology (IT) · quality · systems analysis
Senior Business Development Coordinator,Aedas -,"Dubai, United Arab Emirates ",Full Time,Not specified · Business Development · Marketing/PR/Advertising · Sales/Retail · Business Development · Sales · Sales Skills · Sales Target · Marketing · Customer Service · Microsoft Office
Technology Engineer - Client Engineering,Gulf Business Machines PND -,"Riyadh, Saudi Arabia ",Full Time,Not specified · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · Engineering · Software Engineering · Computer Engineering · javaScript
System Administrator,MedVAlley S.A.E -,"New Cairo, Cairo, Egypt ",Full Time,Entry Level · 3 - 5 Yrs of Exp · IT/Software Development · Administrator · Information Technology (IT) · Computer Science · Networks · Security · LAN · System administrator · System Administration · WAN
ERP System Analyst,Aqarmap.com -,"Nasr City, Cairo, Egypt ",Full Time,Experienced · 1 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analyst · analytical · Computer Science · ERP systems · Information Technology (IT) · Software · System Analyst
Performance Manager,topEngineer -,"Dubai, United Arab Emirates ",Full Time,Not specified · Hospitality/Hotels/Food Services · Human Resources · Operations/Management · Performance Management · Human Resources (HR) · Recruitment · Management · Training · Microsoft Office · Personnel
Senior Software Quality Control Engineer (Nasr City),Confidential -,"Nasr City, Cairo, Egypt ",Full Time,Experienced · 3+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Engineering · Project Management · Information Systems · Information Technology (IT) · Computer Science · Computer Engineering · Software
Database Administrator,Abacus Technology -,"Qatif, Saudi Arabia ",Full Time,Not specified · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · SQL · Oracle · Database Administration · Database · Linux
"Quality Engineer (Audit, API/ISO, Welding, QA/QC): Dubai United Arab Emirates and 1","National Oilwell Varco, Inc. -","Dubai, United Arab Emirates ",Full Time,Not specified · IT/Software Development · Quality · Engineering - Telecom/Technology · Quality Control · Engineering · Quality Assurance · Quality · Computer Science · Information Technology (IT) · Software Testing
IT System Admin,Delta Egypt For Lighting  -,"Obour City, Cairo, Egypt ",Full Time,Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Computer Engineering · Administration · Engineering · Information Technology (IT) · IT · Linux · Computer Science · System Administration · Network Administration
Senior Backend Developer - Part Time,Zewail City -,"6th of October, Giza, Egypt ",Part Time,Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · .Net · JSON · Programming · SQL · Testing · ASP.Net · APIs · Design
IT Specialist,Confidential -,"Obour City, Cairo, Egypt ",Full Time,Experienced · 3 - 7 Yrs of Exp · IT/Software Development · Information Technology (IT) · IT · Security · Networking · Software · Computer Science
Backend PHP,Obeikan Digital Solutions -,"Cairo, Egypt ",Full Time,Experienced · 2 - 7 Yrs of Exp · IT/Software Development · Agile · Angular · APIs · Computer Science · CSS · Engineering · HTML · Information Technology (IT) · MySQL
Node JS Developer,Obeikan Digital Solutions -,"New Cairo, Cairo, Egypt ",Full Time,Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Angular · Agile · CSS · Engineering · Information Technology (IT) · JavaScript · OOP · Software Development · MySQL
Product Specialist - Sharkia,PRT Scientific Office -,"Zagazig, Sharqia, Egypt ",Full Time,Entry Level · 0 - 5 Yrs of Exp · Medical/Healthcare · Sales/Retail · Pharmaceutical · Pharmacy · Veterinary · Medicine · Sales · Customer Service · Pharmaceutical · Cosmetics
Junior IT Specialist,Jessour Misr -,"Abu Rawash, Giza, Egypt ",Full Time,Entry Level · 1 - 2 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Engineering · Information Technology (IT) · Software Engineering · Software Development · PHP · Java · Odoo
Senior Field Support Engineer,Trapeze -,"Dubai, United Arab Emirates ",Full Time,Not specified · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Engineering · Customer Support · Customer Service · Customer Care · SQL
.NET production Support Engineer (KSA),Ejada  -,"Riyadh, Saudi Arabia ",Full Time,Experienced · 4 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · .Net · Computer Science
SAP HCM Support Consultant,LABS -,"Nasr City, Cairo, Egypt ",Full Time,Experienced · 4 - 6 Yrs of Exp · IT/Software Development · English · Management · SAP · SAP Program · SAP HCM · SAP Human Capital Management · Support Services · Application Support · SuccessFactors
Product Owner,waffarha.com -,"Downtown, Cairo, Egypt ",Full Time,Experienced · 2 - 4 Yrs of Exp · IT/Software Development · Project/Program Management · Engineering - Telecom/Technology · Information Technology (IT) · Agile · Communication · Computer Science · English · Software Development · Analytical Skills
Senior Administration Analyst,Raytheon -,"Riyadh, Saudi Arabia ",Full Time,Not specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Analysis · Business Analysis · Computer Engineering · Engineering · Software Development
"QA Engineer, Fintech",Optasia -,"Cairo, Egypt ",Full Time,Experienced · 3 - 7 Yrs of Exp · IT/Software Development · Quality · QA · quality · Quality Assurance · Quality Control · Software · SQL · Python · Engineering
Quality Assurance Testing Engineer,Confidential -,"Mohandessin, Giza, Egypt ",Full Time,Entry Level · 0 - 5 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Communication · Computer Science · Engineering · quality · Quality Assurance · Quality Control · Software Development
IT Executive - Giza,Confidential -,"Dokki, Giza, Egypt ",Full Time,Entry Level · 2 - 3 Yrs of Exp · Installation/Maintenance/Repair · Computer Science · Hardware · Information Technology (IT) · English · computer · Communication · IT · Software
Quality Control Engineer,Obeikan Digital Solutions -,"Cairo, Egypt ",Full Time,Experienced · 2 - 7 Yrs of Exp · IT/Software Development · Agile · Computer Science · Engineering · English · quality · Quality Assurance · Quality Control · Science · Software
Quality Control Chemist,GlassRock Insulation Co. -,"Alsadat City, Monufya, Egypt ",Full Time,Experienced · 1 - 4 Yrs of Exp · Quality · quality · Quality Assurance · Quality Control · Science
Full Stack Developer Team Lead,3S Software -,"Nasr City, Cairo, Egypt ",Full Time,Experienced · 5 - 8 Yrs of Exp · IT/Software Development · Operations/Management · Engineering - Telecom/Technology · Angular · Agile · .Net · ASP.Net · Computer Science · Engineering · HTML
Senior Machine Learning and NLP Engineer,Antal International - Egypt -,"Cairo, Egypt ",Full Time,Not specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Python · Computer Science · Information Technology (IT) · Machine Learning · Software Engineering · C++ · Mathematics
IT Service Delivery Specialist (UAE National),Charterhouse Middle East -,"Dubai, United Arab Emirates ",Full Time,Not specified · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Computer Engineering · Installation · Customer Service · Microsoft Office · SAP
Head of Technical Delivery- Government Business Solutions,Giza Arabia Systems -,"Cairo, Egypt ",Full Time,Not specified · IT/Software Development · Sales/Retail · Engineering - Telecom/Technology · information technology (it) · computer science · engineering · sales · software development · project management · software
Quality Control Specialist,El Mohandess Print House -,"10th of Ramadan City, Sharqia, Egypt ",Full Time,Experienced · 1 - 3 Yrs of Exp · males_only · Quality · Quality Control · Quality Assurance · Manufacturings · Product Testing · Analytical · Science · quality · Manufacturing · Control
Team Leader - Pest Management,Rentokil -,"Riyadh, Saudi Arabia ",Full Time,Not specified · IT/Software Development · Sales/Retail · Engineering - Telecom/Technology · Sales · Sales Skills · Information Technology (IT) · Sales Target · Computer Science · Customer Service · Real Estate
Administrator,Nathan & Nathan -,"Dubai, United Arab Emirates ",Full Time,Not specified · Administration · Customer Service/Support · Sales/Retail · Administration · Microsoft Office · Office Management · Business Administration · Admin · Secretary · Customer Service
Business Analyst,Fursaty Careers/Learn to B HR Consultancy -,"Dubai, United Arab Emirates ",Full Time,Not specified · 2+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Business Analysis · Information Technology (IT) · Computer Science · Analysis · Software Development · Software · Computer Engineering
Senior Software Engineer – RPA,flydubai -,"Dubai, United Arab Emirates ",Full Time,Not specified · IT/Software Development · Quality · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Engineering · Software Development · Engineering · Software Testing · Quality Control
Lead Technical HSE Engineer,John Wood Group PLC -,"Dubai, United Arab Emirates ",Full Time,Not specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · engineering · information technology (it) · computer science · software development · software · management · design
"Sr Analyst II, Management Information Job",Tasnee -,"Riyadh, Saudi Arabia ",Full Time,Not specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · information technology (it) · computer science · software development · engineering · analysis · finance · accounting
Junior Computer Vision Engineer,Noases -,"Cairo, Egypt ",Full Time,Entry Level · 0 - 2 Yrs of Exp · IT/Software Development · Engineering · Computer Science · Information Technology (IT) · Software Development · Programming · Design · Software Engineering · Machine Learning
QA- Operational Quality Officer,Logistica -,"6th of October, Giza, Egypt ",Full Time,Entry Level · 1 - 2 Yrs of Exp · males_only · Quality · Quality Control · QMS · GMP · English · Quality Assurance · quality · Science
Junior Operations Engineer - Network/Cloud,Link Datacenter -,"Giza, Egypt ",Full Time,Entry Level · 0 - 1 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Communication · Operations · Project Management · SQL · Management · Communication skills
Senior Application Analyst,Mekdam Holding Group -,"Doha, Qatar ",Full Time,Not specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Analysis · Business Analysis · Software Development · Engineering · Software
Quality Assurance Tester,Al Ahly capital holding - Al Ahly Tamkeen -,"Maadi, Cairo, Egypt ",Full Time,Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · Quality · Quality Assurance · QA · Computer Science · Testing · SQL · ITIL · Software · Quality Control
Oracle ADF Developer,Confidential -,"10th of Ramadan City, Cairo, Egypt ",Full Time,Entry Level · 1 - 3 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Communication · computer · Computer Science · Information Technology (IT) · Oracle · Science · Software Development
System Admin,BayanTech -,"Cairo, Egypt ",Full Time,Not specified · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · System Administration · Administration · Engineering · Linux · Troubleshooting
Senior Android Developer,YOUXEl Technology -,"Cairo, Egypt ",Full Time,Experienced · 3 - 6 Yrs of Exp · IT/Software Development · Computer Science · Information Technology (IT) · Software Development · Software Engineering · senior android developer
System Administrator,Arabia for Information Technology -,"Cairo, Egypt ",Full Time,Experienced · 3+ Yrs of Exp · IT/Software Development · Linux · Windows Server · Server Administration · Data Center Management · Ubuntu · RHEL · CentOS
Mobilization Officer,Tazweed -,"Abu Dhabi, United Arab Emirates ",Full Time,Not specified · IT/Software Development · Project/Program Management · Engineering - Telecom/Technology · information technology (it) · microsoft office · computer science · engineering · administration · management · office management
Senior Infrastructure Engineer,Lumin -,"Sheikh Zayed, Giza, Egypt ",Full Time,Experienced · 6 - 8 Yrs of Exp · IT/Software Development · CCNA · Communication · Communication skills · Information Technology (IT) · Infrastructure · Networking · computer · Computer Science · Engineering
Senior Technical Project Manager,BBI-Consultancy -,"Nasr City, Cairo, Egypt ",Full Time,Experienced · 4+ Yrs of Exp · IT/Software Development · Project/Program Management · Agile · Computer Science · English · Information Technology (IT) · Project Management · Scrum Master · Project Manager · Scrum
Front Office Developer / Junior Desk Quant,Parker Connect -,"Dubai, United Arab Emirates ",Full Time,Not specified · Administration · IT/Software Development · Engineering - Telecom/Technology · administration · office management · secretary · microsoft office · computer science · software development · communication skills
Solution Engineer - Test & Learn Analytics,OA- Mastercard -,"Dubai, United Arab Emirates ",Full Time,Not specified · IT/Software Development · Sales/Retail · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Engineering · Software Engineering · Computer Engineering · Software Development · Sales
"Vendor Consultant - Italian, AVS-NOP",Amazon MENA -,"Cairo, Egypt ",Full Time,Not specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · engineering · information technology (it) · computer science · sales · management · operations · planning
QA Compliance Senior Specialist,Al Andalous Pharmaceutical Industries -,"6th of October, Giza, Egypt ",Full Time,Experienced · 3 - 5 Yrs of Exp · Quality · Pharmaceutical · Pharmaceutical · QA · Quality Assurance · Science · Pharmacy · Compliance · quality
IT Manager,Confidential -,"Mohandessin, Giza, Egypt ",Full Time,Experienced · 10 - 15 Yrs of Exp · IT/Software Development · Project/Program Management · Computer Science · Computer Engineering · Information Technology (IT) · IT · Software · Computer Hardware
Project Engineering Manager,Confidential -,"Nasr City, Cairo, Egypt ",Full Time,Experienced · 7 - 10 Yrs of Exp · Engineering - Construction/Civil/Architecture · Project/Program Management · Engineering · Management · MS Office · Project Management · Leadership · AutoCAD · Computer Science · 3D Designing
Frontend Developer,appcorp -,"Cairo, Egypt ",Full Time,Entry Level · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · HTML · Database · CSS · Computer Science · CodeIgniter · AJAX · Information Technology (IT) · MySQL
Operating System Administrator,inbox -,"Riyadh, Saudi Arabia ",Full Time,Not specified · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · System Administration · Engineering · Installation · Linux · Computer Engineering
Business Analyst,inbox -,"Riyadh, Saudi Arabia ",Full Time,Not specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Business Analysis · Information Technology (IT) · Computer Science · Analysis · Software Development · Software · Computer Engineering
Senior Flutter Developer,DEVOPSOLUTION -,"Nasr City, Cairo, Egypt ",Full Time,Experienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Flutter · Software Development · Android · RESTful · APIs · Development · Flutter Development
Senior Software Engineer,Bevatel -,"Dokki, Giza, Egypt ",Full Time,Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Computer Science · AWS · Development · Docker · Engineering · APIs · Information Technology (IT)
Junior Backend Developer,Travolic.LLc -,"New Cairo, Cairo, Egypt ",Full Time,Entry Level · 1 - 3 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · API · Computer Science · JavaScript · Express.js · NestJS. · Node.js · RESTful APIs
Senior Instrument and Control Designer,John Wood Group PLC -,"Dubai, United Arab Emirates ",Full Time,Not specified · IT/Software Development · Quality · Engineering - Telecom/Technology · information technology (it) · computer science · software development · engineering · testing · design · quality
DLP Engineer,ManpowerGroup Middle East -,"Riyadh, Saudi Arabia ",Full Time,Not specified · IT/Software Development · Sales/Retail · Engineering - Telecom/Technology · DLP · Engineering · Fortinet · Information Technology (IT) · Sales · Sales Skills · Sales Target
Graduate Process Engineer (UAE National),Wood -,"Dubai, United Arab Emirates ",Full Time,Not specified · Manufacturing/Production · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Engineering · Mechanical Engineering · Production · Electrical Engineering · Mechatronics · Industrial Engineering · Information Technology (IT)
Technical Trainer,FlairsTech -,"Cairo, Egypt ",Full Time,Experienced · 3 - 4 Yrs of Exp · IT/Software Development · Computer Science · Information Technology (IT) · Communication skills · Development · Technical Training · Training · Cloud
Web Content manager,ManpowerGroup Middle East -,"Dubai, United Arab Emirates ",Full Time,Not specified · Writing/Editorial · Marketing/PR/Advertising · Media/Journalism/Publishing · Marketing · Social Media · SEO · Digital Marketing · Content Management · E-marketing · Media
Business Analyst Intern,McKinsey & Company -,"Abu Dhabi, United Arab Emirates ",Full Time,Not specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Business Analysis · Information Technology (IT) · Computer Science · Analysis · Business Development · Software Development · Software
Chief Financial Officer,Career Raiser -,"Dubai, United Arab Emirates ",Full Time,Not specified · Accounting/Finance · Operations/Management · C-Level Executive/GM/Director · Finance · Accounting · Financial Management · Financial Analysis · Management · MBA · Microsoft Office
IT Administrator,Infotech -,"Nasr City, Cairo, Egypt ",Full Time,Experienced · 2+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Information Technology (IT) · IT · Networks · System Administration · Computer Science · English · Linux · Ubuntu
Product Specialist ( Nasr City - New Cairo),PRT Scientific Office -,"New Cairo, Cairo, Egypt ",Full Time,Entry Level · 0 - 5 Yrs of Exp · Medical/Healthcare · Sales/Retail · Pharmaceutical · Pharmacy · Veterinary · Medicine · Sales · Customer Service · Pharmaceutical · Cosmetics
Electronics Design and Development Engineer,Allsopp & Allsopp Recruitment -,"Dubai, United Arab Emirates ",Full Time,Not specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Electronics · Design · Electrical Engineering · Engineering · Microcontrollers · Communication · Mechanical Engineering
Lead Engineer,Bureau Veritas Group -,"Riyadh, Saudi Arabia ",Full Time,Not specified · Engineering - Construction/Civil/Architecture · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Engineering · Software Development · Software Engineering · Computer Engineering · Sales
Group Senior Manager - Tax (UAE CIT) United Arab Emirates Posted on 10/16/2023 Trending,Cargoes -,"Dubai, United Arab Emirates ",Full Time,Not specified · IT/Software Development · Project/Program Management · Sales/Retail · Sales · Sales Skills · Customer Service · Project Management · Marketing · Information Technology (IT) · Customer Support
Watermaster- Senior Document Controller,UrbaCon Contracting & Trading Company -,"Riyadh, Saudi Arabia ",Full Time,Not specified · Administration · Engineering - Construction/Civil/Architecture · Engineering - Telecom/Technology · Document Control · Administration · Microsoft Office · Construction · Engineering · Information Technology (IT) · Libraries
Senior Product Manager - CRM & Ecommerce,Persistence Recruitment -,"Riyadh, Saudi Arabia ",Full Time,Not specified · IT/Software Development · Marketing/PR/Advertising · Sales/Retail · Sales · Marketing · Information Technology (IT) · Sales Skills · Project Management · Product Management · Computer Science
Senior Financial Analyst,Merck Sharp & Dohme Corp -,"Cairo, Egypt ",Full Time,Not specified · Accounting/Finance · IT/Software Development · Analyst/Research · Finance · Accounting · Financial Analysis · Information Technology (IT) · Analysis · Computer Science · Business Analysis
Senior Odoo Developer,ITSS -,"Maadi, Cairo, Egypt ",Full Time,Experienced · 3 - 4 Yrs of Exp · IT/Software Development · Computer Science · JavaScript · Python · Software Development · HTML · APIs · XML · Software Engineering
Information Management & Performance Reporting Officer NOA,World Food Program - Other locations -,"Cairo, Egypt ",Full Time,Not specified · IT/Software Development · Project/Program Management · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Project Management · Engineering · Software Development · Computer Engineering · Management
Senior Manager – Trade Product Management,ADCB Abu Dhabi Commercial Bank -,"Dubai, United Arab Emirates ",Full Time,Not specified · IT/Software Development · Marketing/PR/Advertising · Sales/Retail · Sales · Marketing · Sales Skills · Information Technology (IT) · Project Management · Customer Service · Product Management
Microsoft Dynamics Senior Technical,Professional Recruitment -,"Riyadh, Saudi Arabia ",Full Time,Not specified · IT/Software Development · Sales/Retail · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · SQL · Software Development · .NET · Dynamics AX · SSRS
Senior Customer Success Manager,Uplift People Consulting -,"Dubai, United Arab Emirates ",Full Time,Not specified · Customer Service/Support · Operations/Management · Engineering - Telecom/Technology · Customer Service · Customer Care · Customer Support · Sales · Information Technology (IT) · Sales Skills · Management
Technology Sales Engineer - Security - Digital Trust,Gulf Business Machines PND -,"Riyadh, Saudi Arabia ",Full Time,Not specified · Sales/Retail · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Sales · Sales Skills · Engineering · Sales Target · Electrical Engineering · Mechanical Engineering · Information Technology (IT)
Senior Software Developer (C#),Confidential -,"Cairo, Egypt ",Work From Home,Experienced · 6 - 10 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Software Engineering · Software Development · Information Technology (IT) · SQL · Engineering · Computer Science · ASP.Net
Solution Architect,eT3 - Tomorrow Information Technology -,"New Cairo, Cairo, Egypt ",Full Time,Experienced · 10 - 12 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · enterprise relational database · DWH · Data Engineering · Data Modeling · Informatica PowerCenter · SAS DI · microstrategy · SAP BusinessObjects
Senior Manager – VCA Accelerator/ VCA Strategic Initiatives,Currencycloud -,"Cairo, Egypt ",Full Time,Not specified · Business Development · Marketing/PR/Advertising · Sales/Retail · sales · business development · marketing · finance · commercial · management · business
DLP Engineer (Symantec),Help AG -,"Riyadh, Saudi Arabia ",Full Time,Not specified · IT/Software Development · Sales/Retail · Engineering - Telecom/Technology · DLP · Engineering · Fortinet · Information Technology (IT) · Sales · Sales Skills · Sales Target
Localization Project Manager,BayanTech -,"Cairo, Egypt ",Full Time,Not specified · Engineering - Construction/Civil/Architecture · IT/Software Development · Project/Program Management · Project Management · Engineering · PMP · Information Technology (IT) · Computer Science · Management · Civil Engineering
Senior Sales Consultant,Foreground Consultancy -,"Riyadh, Saudi Arabia ",Full Time,Not specified · Customer Service/Support · IT/Software Development · Sales/Retail · Sales · Sales Skills · Sales Target · Real Estate · Customer Service · Customer Support · Customer Care
Pre-sales Solution Architect,Top Notch Consultancy -,"Doha, Qatar ",Full Time,Not specified · IT/Software Development · Sales/Retail · Engineering - Telecom/Technology · Sales · Sales Skills · Information Technology (IT) · Computer Science · Engineering · Presales · ERP
Project Manager (Hybrid),BayanTech -,"Cairo, Egypt ",Full Time,Not specified · Engineering - Construction/Civil/Architecture · IT/Software Development · Project/Program Management · Project Management · Engineering · Information Technology (IT) · Management · Computer Science · Civil Engineering · Microsoft Office
Business Analyst,Confidential -,"Nasr City, Cairo, Egypt ",Full Time,Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Business Analysis · Analysis · Cash Collection · Information Technology (IT) · Science · Software · UX
UPS Engineer,Top Notch Consultancy -,"Riyadh, Saudi Arabia ",Full Time,Not specified · Engineering - Construction/Civil/Architecture · Creative/Design/Art · Engineering - Mechanical/Electrical · Engineering · UPS · Electrical Engineering · AutoCAD · Sketch Up · Architecture · Design
Software Quality Control Specialist,Arabia for Information Technology -,"Cairo, Egypt ",Full Time,Experienced · 3+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Software Test · Software Testing · QC · Quality Control · Information Technology (IT) · Computer Science · Automation testing
Senior Administrative Assistant,Mekdam Holding Group -,"Doha, Qatar ",Full Time,Not specified · Administration · IT/Software Development · Engineering - Telecom/Technology · Administration · Office Management · Microsoft Office · Secretary · Admin · Information Technology (IT) · Computer Science
Telecommunications,Mekdam Holding Group -,"Doha, Qatar ",Full Time,Not specified · Customer Service/Support · IT/Software Development · Engineering - Telecom/Technology · Telecommunication · Information Technology (IT) · Computer Science · Engineering · Customer Service · Customer Support · Customer Care
Lead of Process/Utilities (F-4212-Q),Mekdam Holding Group -,"Doha, Qatar ",Full Time,Not specified · IT/Software Development · Sales/Retail · Engineering - Telecom/Technology · information technology (it) · sales · computer science · engineering · operations · design · development
Asset Management Engineer,Mekdam Holding Group -,"Doha, Qatar ",Full Time,Not specified · Engineering - Construction/Civil/Architecture · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Engineering · Project Management · Information Technology (IT) · Civil Engineering · Computer Science · Mechanical Engineering · Management
Road Safety Engineer,Mekdam Holding Group -,"Doha, Qatar ",Full Time,Not specified · Engineering - Construction/Civil/Architecture · Quality · Engineering - Other · Engineering · Quality · HSE · Safety · Quality Control · Civil Engineering · Quality Assurance
Mobile Maintenance Engineer - 6 October,Raya Distribution -,"6th of October, Giza, Egypt ",Full Time,Entry Level · 1 - 2 Yrs of Exp · Engineering - Telecom/Technology · Computer Science · Communication · Electronics · Electrical Engineering
