Job Title,Company,Location,Time Of Work,Job Description
Data Analysis Supervisor,Nahdet Misr Publishing Group -,"Mohandessin, Giza, Egypt ",Full Time,Experienced · 6 - 8 Yrs of Exp · Analyst/Research · Sales/Retail · Analysis · Administration · Data Analysis · Finance · business · Sales Analysis · Microsoft Excel · Data
Master Data Analyst,Johnson & Johnson -,"Cairo, Egypt ",Full Time,Not specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · Microsoft Office · SQL · Microsoft Excel
Programme Assistant (Data Analyst),World Food Program - Other locations -,"Cairo, Egypt ",Full Time,Not specified · IT/Software Development · Engineering - Telecom/Technology · Education/Teaching · computer science · teaching · education · information technology (it) · design · english · management
Data Analysis Quality Internship - Alexandria,Prometeon Tyres Group – Egypt  (Ex-Pirelli Tyres Egypt) -,"Ameria, Alexandria, Egypt ",Internship,Entry Level · Quality · Analyst/Research · Analysis · Computer Engineering · Computer Science · Data Analysis · quality · SQL · Data
Data Analyst,UrbaCon Contracting & Trading Company -,"Doha, Qatar ",Full Time,Not specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · SQL · Microsoft Office · Microsoft Excel
Data Science Instructor,EpsilonAI -,"Nasr City, Cairo, Egypt ",Full Time,Experienced · 1+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Training/Instructor · Data Science · Computer Science · Computer Engineering · Python · Machine Learning · Deep Learning · Artificial Intelligence (AI)
Group Data Engineer,DP World -,"Dubai, United Arab Emirates ",Full Time,Not specified · IT/Software Development · Sales/Retail · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Engineering · Computer Engineering · SQL · Python · Software Development
Data Analyst,Tazweed -,"Abu Dhabi, United Arab Emirates ",Full Time,Not specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · SQL · Microsoft Office · Microsoft Excel
Data Engineer,Erada -,"Maadi, Cairo, Egypt ",Full Time,Experienced · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering · Computer Science · Information Technology (IT) · Software Development
Data Manager / Documents Controller (m/f),Dornier Group GmbH -,"Riyadh, Saudi Arabia ",Full Time,Not specified · Accounting/Finance · IT/Software Development · Engineering - Telecom/Technology · information technology (it) · computer science · engineering · microsoft office · administration · english · management
Financial Data Analyst,Zewail City -,"6th of October, Giza, Egypt ",Full Time,Experienced · 2 - 3 Yrs of Exp · Accounting/Finance · Analyst/Research · Accounting · Analysis · business · Economics · Data · Finance · Financial · Financial Analysis
Junior Data Analyst,Options -,"Mohandessin, Giza, Egypt ",Full Time,Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · analytical · Communication skills · Computer Science · Data Analysis · Data visualization · Data
Science Tutor - Preparatory (Arabic - English Freelance),Nagwa -,"Nasr City, Cairo, Egypt ",Freelance / Project,Experienced · 2+ Yrs of Exp · Education/Teaching · Teaching · Tutoring · Online Education · Education · Science · Tutor
Science Tutor - Primary (Arabic - English Freelance),Nagwa -,"Nasr City, Cairo, Egypt ",Freelance / Project,Experienced · 2+ Yrs of Exp · Education/Teaching · Teaching · Tutoring · Online Education · Education · Science · Tutor
