,Brand,Series,Package Dimensions,Resolution,Processor Brand,Processor Type,Processor Speed,Processor Count,RAM Size,Hard Drive Size,Hard Disk Description,Graphics Chipset Brand,Item Weight,Color,Availability Date,Rating,Number Of Ratings,Price
226,Lenovo,IdeaPad 5 15ITL05 - 82FG00WMED,51.7 x 30.5 x 7.4 cm; 1.66 Kilograms,1920 x 1080 Pixels,Intel,Intel Core i7-1165G7,4700 MHz,4,8 GB,512 GB,SSD,NVIDIA,1.66 Kilograms,Grey,24 August 2022,2.9,2,28999
227,HP,15-FB0036NE,,,Intel,Core i3-9300T,3 GHz,1,,1 TB,SSD,Intel,2 Kilograms,,11 November 2022,,,27999
228,Dell,,49.8 x 32 x 8.4 cm; 2.83 Kilograms,,,,,,8 GB,1 TB,,,2.83 Kilograms,,27 December 2021,5.0,7,199.
229,LENOVO,Lenovo IdeaPad Slim 3 15IAH8,52 x 32 x 7 cm; 1.62 Kilograms,1920x1080 Pixels,Intel,Core i5-12450H,2 GHz,8,,512 GB,512GB SSD M.2 2242 PCIe 4.0x4 NVMe,Intel,1.62 Kilograms,Arctic Grey,14 December 2023,,,27770
230,Lenovo,Lenovo IdeaPad 3 - 5700U 8G 1T 256G,52 x 35 x 7 cm; 1.65 Kilograms,1920x1080 Pixels,AMD,AMD Ryzen 7 5700U,1.8 GHz,8,,1256 GB,"1TB HDD 5400rpm 2.5"" + 256GB SSD PCIe NVMe",AMD,1.65 Kilograms,Arctic Grey,12 October 2023,,,27746
231,DELL,5406i3-16G512W10H,42 x 35.5 x 7.7 cm; 1.5 Kilograms,1366x768 Pixels,Intel,Intel Core i3,4100 MHz,2,16,512 GB,SSD,Intel,1.5 Kilograms,Silver,14 February 2023,5.0,1,27462
232,Dell,Vostro,49.8 x 32 x 8.4 cm; 2.83 Kilograms,,Intel,,,,8 GB,1 TB,,Intel,2.83 Kilograms,,6 January 2022,3.5,5,1180.
233,Dell,Dell Vostro 3500 i5-1135G7 16G 1.256T,52 x 32 x 7 cm; 1.8 Kilograms,1920 x 1080 Pixels,Intel,Intel Core i5-1135G7,2400 MHz,4,16,1256 GB,Hybrid,Intel,1.8 Kilograms,Black,21 May 2022,3.0,2,27450
234,DELL,Vostro 3510 i5 1135G7 12G 256G UBU,52 x 35 x 7 cm; 1.8 Kilograms,1366x768 Pixels,Intel,Intel Core i5-1135G7,4200 MHz,4,,256 GB,SSD,Intel,1.8 Kilograms,Black,14 February 2023,,,27100.
235,HP,10 Hours,,1366x768 Pixels,Intel,Intel Core i7,1100 MHz,,8 GB,1 TB,HDD,Intel,2 Kilograms,Silver,30 April 2021,2.7,17,26999
236,HP,13-bb0003ne,52.5 x 30.8 x 7.2 cm; 2.46 Kilograms,,Intel,Core i5 Family,3.4,8,8,,"Designed to run more efficiently and more reliably at faster speeds, DDR4 is the future of RAM. With its higher bandwidth, everything from multi-tasking to playing games gets a performance boost.",Intel,2.46 Kilograms,Silver,30 May 2022,2.5,3,26793
237,Lenovo,Lenovo IdeaPad 3 R7-5700 8G 1TB,53.29 x 33.2 x 7.3 cm; 1.65 Kilograms,1920x1080 Pixels,AMD,AMD Ryzen 7 5700U,1.8 GHz,8,,1 TB,HDD,AMD,1.65 Kilograms,Arctic Grey,29 October 2023,,,26771
238,Lenovo,Lenovo IdeaPad 3 R7-5700 8G 1T,53.6 x 33.2 x 7.2 cm; 1.65 Kilograms,1920x1080 Pixels,AMD,AMD Ryzen 7 5700U,1.8 GHz,8,,1 TB,HDD,AMD,1.65 Kilograms,Arctic Grey,29 October 2023,,,26771
239,Lenovo,Lenovo IdeaPad 3 R7-5700 8GB 1T,53.5 x 33.2 x 7.2 cm; 1.65 Kilograms,1920x1080 Pixels,AMD,AMD Ryzen 7 5700U,1.8 GHz,8,,1 TB,HDD,AMD,1.65 Kilograms,Arctic Grey,29 October 2023,,,26771
240,HP,15-dw3103ne,,1366x768 Pixels,Intel,Intel Core i7-1165G7,4700,4,8 GB,512 GB,SSD,NVIDIA,1.75 Kilograms,Black,13 July 2022,,,26713
241,LENOVO,Lenovo IdeaPad Slim 3 15IAH8 I5-12450H 8G 512G,48.29 x 33.2 x 7.2 cm; 1.62 Kilograms,1920x1080 Pixels,Intel,Core i5-12450H,2 GHz,8,,512 GB,512GB SSD M.2 2242 PCIe 4.0x4 NVMe,Intel,1.62 Kilograms,Arctic Grey,4 November 2023,,,26679
242,HP,HP Laptop 15-dw3377ne - Intel Core i5 -1135G7 - 8GB RAM - 512GB SSD - NVIDIA GeForce MX450 2GB - 15.6-inch HD - DOS - Jet Black,53.8 x 33.6 x 7.2 cm; 2.9 Kilograms,1366x768 Pixels,Intel,Intel Core i5,2.4 GHz,1,8,512 GB,SSD,NVIDIA,2.9 Kilograms,,5 March 2023,,,24578.
243,Lenovo,Lenovo IdeaPad 3 - 5700U 8G 512G GRY,55.2 x 33.2 x 7.2 cm; 1.65 Kilograms,1920x1080 Pixels,AMD,AMD Ryzen 7 5700U,1.8 GHz,8,,512 GB,512GB SSD PCIe NVMe,AMD,1.65 Kilograms,Grey,9 December 2022,,,26396
244,Dell,"Latitude 5410 i5-10210U 12GB 256GB 14""",40 x 30 x 7 cm; 1.52 Kilograms,1366x768 Pixels,Intel,Intel Core i5,1600 MHz,4,12 GB,256 GB,SSD,Intel,1.52 Kilograms,,25 February 2023,,,26103
245,HP,14-EK0011NE,,,Intel,Core i5,3 GHz,1,8 GB,512 GB,SSD,Intel,2 Kilograms,,11 November 2022,2.0,1,25999
246,HP,15-EG2007NE,,,Intel,Core i3-9300T,3 GHz,1,,512 GB,SSD,Intel,2 Kilograms,,11 November 2022,,,25999
247,Lenovo,Lenovo IdeaPad 3 - 82KU00WCAK,53.6 x 33.4 x 8.2 cm; 1.65 Kilograms,1920x1080 Pixels,AMD,AMD Ryzen 7 5700U,1.8 GHz,8,8 GB,1 TB,HDD,AMD,1.65 Kilograms,Grey,9 December 2022,,,25832
248,Dell,Inspiron 5406 i3/8G/256G/W10,40.5 x 39.1 x 7.8 cm; 1.5 Kilograms,1366x768 Pixels,Intel,Intel Core i3,4100 MHz,2,,256 GB,SSD,Intel,1.5 Kilograms,Silver,15 May 2023,,,25268
249,HP,14-EK0252NG,52.3 x 31.2 x 7 cm; 2 Kilograms,,Intel,Core i7-660UM,3 GHz,1,8 GB,512 GB,SSD,NVIDIA,2 Kilograms,Blue,26 June 2022,1.0,1,25149
250,Dell,V3510i511G8G256G350U,55 x 35 x 7 cm; 1.8 Kilograms,1366x768 Pixels,Intel,Intel Core i5-1135G7,4200 MHz,4,8 GB,256 GB,SSD,NVIDIA,1.8 Kilograms,Black,15 May 2023,,,25066
251,DELL,5406i3-12G256W10H,39.6 x 35.01 x 8 cm; 1.5 Kilograms,1366x768 Pixels,Intel,Intel Core i3,4100 MHz,2,12 GB,256 GB,SSD,Intel,1.5 Kilograms,Silver,14 February 2023,,,25005
252,DELL,Vostro 3510 i51035G1 16G 512G UB,49.7 x 32.4 x 7.8 cm; 1.8 Kilograms,1366x768 Pixels,Intel,Intel Core i5,3600 MHz,4,16 GB,512 GB,SSD,Intel,1.8 Kilograms,Black,14 February 2023,3.0,4,25000
253,HP,15S-FQ5043NE,,,Intel,Core i3-9300T,3 GHz,1,8 GB,512 GB,SSD,Intel,2 Kilograms,,11 November 2022,,,24999
254,Lenovo,IdeaPad,52 x 35 x 7 cm; 1.7 Kilograms,,,,,,8 GB,,,NVIDIA,1.7 Kilograms,Arctic Grey,21 December 2022,,,24578
255,DELL,Vostro 3510 i51035G1 12G 256G UB,49.6 x 32.6 x 7.6 cm; 1.8 Kilograms,1366x768 Pixels,Intel,Intel Core i5,3600 MHz,4,12 GB,256 GB,SSD,Intel,1.8 Kilograms,Black,14 February 2023,2.4,3,24578
256,DELL,Vostro 3510 i51035G1 8G 256 UB,49.7 x 33.3 x 14.6 cm; 1.8 Kilograms,1366x768 Pixels,Intel,Intel Core i5,3600 MHz,4,8 GB,256 GB,SSD,Intel,1.8 Kilograms,Black,29 November 2022,,,24139
257,DELL,Vostro 3510 i51035G1 16G 1T 256 UB,49.4 x 32.3 x 8.1 cm; 1.8 Kilograms,1366x768 Pixels,Intel,Intel Core i5,3600 MHz,4,16,1256 GB,Hybrid,Intel,1.8 Kilograms,Black,29 November 2022,5.0,2,23920
258,Lenovo,Lenovo V15 G2 5500U 8G 1T 256G,53.4 x 33.1 x 7.2 cm; 1.7 Kilograms,1920x1080 Pixels,AMD,AMD Ryzen 5 5500U,2.1 GHz,6,,1256 GB,"1TB HDD 5400rpm 2.5"" + 256 GB SSD PCIe NVMe M.2",AMD,1.7 Kilograms,Black,12 October 2023,,,23912
259,Lenovo,IdeaPad,49 x 32 x 7 cm; 2.5 Kilograms,,Intel,Intel Core i5,2.4 GHz,5,8 GB,512 GB,,NVIDIA,2.5 Kilograms,GRAPHITE GREY,3 October 2021,,,22999
260,Lenovo,,40 x 35 x 10 cm; 2 Kilograms,,AMD,Ryzen 5 4600U,2.8 GHz,5,8 GB,512 GB,,,2 Kilograms,ice,16 November 2023,,,22999
261,Lenovo,Lenovo V15 G2 R5-5500U 8G 1T,53.2 x 33.1 x 7.2 cm; 1.7 Kilograms,1920x1080 Pixels,AMD,AMD Ryzen 5 5500U,2.1 GHz,6,,1 TB,"SSD, HDD",AMD,1.7 Kilograms,Black,29 October 2023,,,22678
262,Lenovo,Lenovo V15 G2 R5 8G 1TB,53.4 x 33.1 x 7.2 cm; 1.7 Kilograms,1920x1080 Pixels,AMD,AMD Ryzen 5 5500U,2.1 GHz,6,,1 TB,"SSD, HDD",AMD,1.7 Kilograms,Black,29 October 2023,,,22678
263,Lenovo,Lenovo V15 G2 5500U 8G 1T,52 x 35 x 7 cm; 1.7 Kilograms,1920x1080 Pixels,AMD,AMD Ryzen 5 5500U,2.1 GHz,6,,1 TB,HDD,AMD,1.7 Kilograms,Black,29 October 2023,,,22678
264,Lenovo,Lenovo V15 G2 R5 8G 1T,52 x 35 x 7 cm; 1.7 Kilograms,1920x1080 Pixels,AMD,AMD Ryzen 5 5500U,2.1 GHz,6,,1 TB,HDD,AMD,1.7 Kilograms,Black,29 October 2023,,,22678
265,Lenovo,Lenovo V15 G2 5500U 8G 512G,53.5 x 35.9 x 7.4 cm; 1.7 Kilograms,1920x1080 Pixels,AMD,AMD Ryzen 5 5500U,2.1 GHz,6,,512 GB,512GB SSD PCIe NVMe,AMD,1.7 Kilograms,Black,17 July 2023,,,22509
266,Lenovo,Lenovo V15 G2 ALC - 82KD001EAK,56.2 x 33.5 x 7.4 cm; 1.7 Kilograms,1920x1080 Pixels,AMD,AMD Ryzen 5 5500U,2.1 GHz,6,8 GB,256 GB,HDD,AMD,1.7 Kilograms,Black,9 December 2022,2.0,1,21882
267,Lenovo,Lenovo V15 G2 5500U 8G 256G,55.7 x 34.5 x 7.4 cm; 1.7 Kilograms,,AMD,AMD Ryzen 5 5500U,2.1 GHz,6,8 GB,256 GB,SSD,AMD,1.7 Kilograms,,28 March 2023,1.0,1,21631
268,Lenovo,IdeaPad 3 1 5ADA05 81W1017DFE,54.2 x 32 x 8.1 cm; 1.85 Kilograms,1920x1080 Pixels,AMD,Ryzen 7 3700U,2300 MHz,4,8 GB,512 GB,SSD,NVIDIA,1.85 Kilograms,,7 December 2022,1.0,2,21443
269,HP,14-EK0012NE,,,Intel,Core i3-9300T,3 GHz,1,8 GB,256 GB,SSD,Intel,2 Kilograms,Silver,11 November 2022,,,20999
270,DELL,Vostro 3510 i51035G1 8G 1T UB,49.5 x 32.2 x 7.6 cm; 1.8 Kilograms,1366x768 Pixels,Intel,Intel Core i5,1 GHz,4,8 GB,1 TB,HDD,Intel,1.8 Kilograms,Black,29 November 2022,,,20471
271,HP,6B9X3EA,55.4 x 30.7 x 6.9 cm; 1.69 Kilograms,1920x1080 Pixels,AMD,Ryzen 3 5300U,2.6 GHz,4,,512 GB,512 GB PCIe® NVMe™ TLC M.2 SSD,AMD,1.69 Kilograms,Black,29 October 2023,,,19767
272,HP,15s-eq 5300U 8G 512G,55.29 x 30.6 x 6.9 cm; 1.69 Kilograms,1920x1080 Pixels,AMD,Ryzen 3 5300U,2.6 GHz,4,,512 GB,512 GB PCIe® NVMe™ TLC M.2 SSD,AMD,1.69 Kilograms,Black,29 October 2023,,,19767
273,Dell,Vostro 3510 i3-1115G 8G 512G,49.7 x 32.9 x 7.6 cm; 1.8 Kilograms,1366x768 Pixels,Intel,Intel Core i3,4100 MHz,2,,512 GB,SSD,Intel,1.8 Kilograms,Black,17 July 2023,,,19060
274,LENOVO,82NB000GED,55.6 x 33.4 x 7.3 cm; 1.85 Kilograms,1920x1080 Pixels,Intel,Intel Core i3,2.1 GHz,2,4,1 TB,HDD,Intel,1.85 Kilograms,GREY,13 April 2023,1.0,1,13844.
275,Lenovo,V15 - 82NB001KED,54.5 x 42.4 x 7.5 cm; 1.85 Kilograms,1920x1080 Pixels,Intel,Intel Core i3,2.1 GHz,2,4,256 GB,SSD,Intel,1.85 Kilograms,Grey,14 April 2023,5.0,1,660.
276,Dell,,51.7 x 32.5 x 7.6 cm; 2.68 Kilograms,,,Core I3 1115G4,3 GHz,,4,256 GB,,,2.68 Kilograms,,17 February 2022,2.4,4,1400.
277,Dell,Latitude,47 x 31 x 7.8 cm; 2.74 Kilograms,,Intel,,1.6 GHz,,4,1 TB,,Intel,2.74 Kilograms,Black,1 April 2021,,,17560.
278,Dell,VOSTRO,20 x 20 x 15 cm; 1.91 Kilograms,,Intel,Core i3,1.2 GHz,,8 GB,1 TB,,Intel,1.91 Kilograms,Black,7 July 2021,4.1,5,18200
279,ASUS,90NB0VX1-M010H0,48.6 x 28.9 x 6.7 cm; 3 Kilograms,,Intel,Intel Core i3,3.4,1,4,256,SSD,Intel,3 Kilograms,black,23 August 2023,,,18054
280,Dell,Latitude,45 x 28.8 x 7.8 cm; 2.43 Kilograms,,Intel,Core i5,1.6 GHz,,4,1 TB,,Intel,2.43 Kilograms,Black,1 April 2021,,,17560.
281,Dell,,55 x 35 x 7 cm; 2.8 Kilograms,,,,,,8 GB,1 TB,,,2.8 Kilograms,,27 April 2022,2.3,9,33105.
282,DELL,Vostro 3510 i3 8 256 ub,49.7 x 32.6 x 7.8 cm; 1.8 Kilograms,1366x768 Pixels,Intel,Intel Core i3,4100 MHz,2,8 GB,256,SSD,Intel,1.8 Kilograms,Black,29 November 2022,3.4,7,17560
283,Dell,Latitude,41.2 x 27.4 x 7.8 cm; 2.09 Kilograms,,Intel,,1.6 GHz,,8 GB,256 GB,solid state drive,Intel,2.09 Kilograms,,28 April 2021,,,20471.
284,Dell,VOSTRO,49.6 x 31.8 x 7.2 cm; 2.75 Kilograms,,Intel,Core i3,,2,4 GB,1 TB,,Intel,2.75 Kilograms,,13 November 2020,3.6,11,690.
285,DELL,Vostro 3510 i3 12G 256 ub,51.9 x 33.2 x 7.4 cm; 1.8 Kilograms,1366x768 Pixels,Intel,Intel Core i3,1.7 GHz,2,12 GB,256,256 GB PCIe NVMe M.2 SSD,Intel,1.8 Kilograms,Black,31 January 2023,3.1,7,17264
286,HP,HP 15 R3-3250 8G 1T 256G DOS,53.9 x 30.4 x 6.9 cm; 1.74 Kilograms,1366x768 Pixels,AMD,Ryzen 3 3250U,2.6 GHz,2,,1256 GB,1 TB 5400 rpm SATA HDD + 256 GB PCIe NVMe M.2 SSD,AMD,1.74 Kilograms,Black,29 October 2023,,,17100
287,Dell,Latitude,,1080 x 1920 Pixels,Intel,Core i5,1.6 GHz,4,8 GB,1 TB,,Intel,1.54 Kilograms,,26 April 2021,4.1,51,16713.
288,Dell,Inspiron,49.4 x 32.2 x 7.6 cm; 2.76 Kilograms,,Intel,,3.4 GHz,,4 GB,1 TB,,Intel,2.76 Kilograms,Black,4 April 2021,,,16300
289,Dell,Latitude,,,Intel,Core i5,1.6 GHz,,8 GB,1 TB,,Intel,,Black,7 July 2021,,,17560.
290,HP,15S-FQ5000NIA,,,`,Core i3-9300T,3 GHz,1,4,,SSD,Intel,2 Kilograms,,11 November 2022,,,15999
291,HP,HP 15 R3-3250U 4G 1T DOS,52 x 30.2 x 7 cm; 1.74 Kilograms,1366x768 Pixels,AMD,Ryzen 3 3250U,2.6 GHz,2,,1 TB,1 TB 5400 rpm SATA HDD,AMD,1.74 Kilograms,Black,29 October 2023,,,15595
292,HP,HP Laptop 15s-fq5009ne (6G3H3EA),56.1 x 31.1 x 7.3 cm; 1.69 Kilograms,,Intel,Core i3,3.3 GHz,6,4,512 GB,SSD,Intel,1.69 Kilograms,Black,18 November 2022,4.5,2,15360
293,HP,ELITEBOOK,20.4 x 12.1 x 2.9 cm; 4.95 Kilograms,,Intel,Core i5,2.5 GHz,2,8 GB,256 GB,,Intel,4.95 Kilograms,Silver,12 July 2021,,,14950
294,Dell,15GW3250U8G1T,52.2 x 30.5 x 8 cm; 1.74 Kilograms,1366x768 Pixels,AMD,Ryzen 3 3250U,2600 MHz,2,8 GB,1 TB,HDD,AMD,1.74 Kilograms,Black,15 May 2023,5.0,2,14734
295,LENOVO,V15 - I3-10110U 8G 1TB FHD,53.4 x 33.2 x 7.4 cm; 1.85 Kilograms,1920x1080 Pixels,Intel,Intel Core i3,2.1 GHz,2,,1 TB,HDD,Intel,1.85 Kilograms,Iron Grey,29 October 2023,,,14480
296,LENOVO,V15 i3-10110U 8G 1TB,53.5 x 33.29 x 7.2 cm; 1.85 Kilograms,1366x768 Pixels,Intel,Intel Core i3,2.1 GHz,2,,1 TB,HDD,Intel,1.85 Kilograms,Iron Grey,29 October 2023,,,14414
297,HP,15S-FQ5048NE,,,Intel,Core i3-9300T,3 GHz,1,4,,SSD,Intel,2 Kilograms,,11 November 2022,3.0,2,13999
298,LENOVO,Lenovo V15 IML,53.4 x 33.2 x 7.4 cm; 1.85 Kilograms,1920x1080 Pixels,Intel,Intel Core i3,2.1 GHz,2,,1 TB,HDD,Intel,1.85 Kilograms,Iron Grey,9 November 2023,,,13885
299,LENOVO,Lenovo V15 IML,52 x 32 x 7 cm; 1.85 Kilograms,1920x1080 Pixels,Intel,Intel Core i3,2.1 GHz,2,,1 TB,HDD,Intel,1.85 Kilograms,Iron Grey,9 November 2023,,,13885
300,LENOVO,Lenovo V15 IML,52 x 32 x 7 cm; 1.85 Kilograms,1920x1080 Pixels,Intel,Intel Core i3,2.1 GHz,2,,1 TB,HDD,Intel,1.85 Kilograms,Iron Grey,9 November 2023,,,13885
301,LENOVO,Lenovo V15 IML,52 x 32 x 7 cm; 1.85 Kilograms,1920x1080 Pixels,Intel,Intel Core i3,2.1 GHz,2,,1 TB,HDD,Intel,1.85 Kilograms,Iron Grey,9 November 2023,,,13885
302,LENOVO,Lenovo V15 IML,52 x 32 x 7 cm; 1.85 Kilograms,1920x1080 Pixels,Intel,Intel Core i3,2.1 GHz,2,,1 TB,HDD,Intel,1.85 Kilograms,Iron Grey,9 November 2023,,,13885
303,LENOVO,V15 - I3-10110U 4G 1TB FHD,53.4 x 33.29 x 7.6 cm; 1.85 Kilograms,1920x1080 Pixels,Intel,Intel Core i3,2.1 GHz,2,4,1 TB,HDD,Intel,1.85 Kilograms,Iron Grey,29 October 2023,,,13885
304,LENOVO,V15 i3-10110U 8G 256G FHD,54.3 x 33.3 x 7.4 cm; 1.85 Kilograms,1920x1080 Pixels,Intel,Intel Core i3,2.1 GHz,2,8 GB,256 GB,SSD,Intel,1.85 Kilograms,Grey,14 April 2023,1.0,2,13844
305,LENOVO,Lenovo V15 IML,52 x 32 x 7 cm; 1.85 Kilograms,1366x768 Pixels,Intel,Intel Core i3,2.1 GHz,2,,1 TB,HDD,Intel,1.85 Kilograms,Iron Grey,9 November 2023,,,13819
306,LENOVO,Lenovo V15 IML,52 x 32 x 7 cm; 1.85 Kilograms,1366x768 Pixels,Intel,Intel Core i3,2.1 GHz,2,,1 TB,HDD,Intel,1.85 Kilograms,Iron Grey,9 November 2023,,,13819
307,LENOVO,V15 i3-10110U 4G 1TB,53.2 x 33.2 x 10.9 cm; 1.85 Kilograms,1366x768 Pixels,Intel,Intel Core i3,2.1 GHz,2,,1 TB,HDD,Intel,1.85 Kilograms,Iron Grey,29 October 2023,,,13819
308,Dell,Latitude,,,Intel,Core i5,2.1 GHz,,4 GB,250 GB,,Intel,11 g,Black,24 June 2021,1.2,3,14734.
