,Brand,Series,Package Dimensions,Resolution,Processor Brand,Processor Type,Processor Speed,Processor Count,RAM Size,Hard Drive Size,Hard Disk Description,Graphics Chipset Brand,Item Weight,Color,Availability Date,Rating,Number Of Ratings,Price
144,LENOVO,IdeaPad Gaming 3 15ACH6 5600H 16G 1T 256G 3050TI W11,53.4 x 32.79 x 10.2 cm; 2.25 Kilograms,1920x1080 Pixels,AMD,Ryzen 5 5600H,3.3 GHz,6,16 GB,1256 GB,Hybrid,NVIDIA,2.25 Kilograms,Shadow Black,21 February 2023,4.5,2,54630.
145,Lenovo,IdeaPad Gaming 3 15ACH6 - 82K201XCUS,,,AMD,Ryzen 5 5600H,3.3 GHz,6,8 GB,256 GB,SSD,NVIDIA,2.25 Kilograms,Black,6 December 2022,4.4,20,57199.
146,LENOVO,IdeaPad Gaming 3 5600H 8G 512SSD 3050TI W11,54.4 x 35.5 x 10.4 cm; 2.25 Kilograms,1920x1080 Pixels,AMD,Ryzen 5 5600H,3.3 GHz,6,8,512 GB,SSD,NVIDIA,2.25 Kilograms,Shadow Black,21 February 2023,,,40999
147,Lenovo,Ideapad Gaming 3,57.8 x 33 x 7 cm; 2 Kilograms,1920 x 1080 Pixels,Intel,Intel Core i7,2.6 GHz,6,16,1 TB,Hybrid,NVIDIA,2 Kilograms,Black,4 April 2021,3.6,6,40999
148,ASUS,FX506HF-HN001W,,,Intel,Core i5,2.7,6,8 GB,512 GB,SSD,NVIDIA,,Graphite Black,9 May 2023,,,47061.
149,acer,Aspire 7,,1920 x 1080 Pixels,Intel,Core i5,,12,16 GB,1 TB,SSD,NVIDIA,2.1 Kilograms,Charcoal Black,27 October 2023,5.0,1,40999
150,Acer,,50.5 x 31.1 x 6.6 cm; 2.1 Kilograms,,,,,8,8,512 GB,,,2.1 Kilograms,red,21 September 2023,3.5,9,40999
151,ASUS,Vivobook Pro D3500QC-OLED007W,47 x 29.2 x 6.8 cm; 1.65 Kilograms,,AMD,Ryzen 7 5800U,4.4 GHz,8,,512 GB,SSD,NVIDIA,1.65 Kilograms,Blue,9 January 2023,5.0,2,64.
152,DELL,G15-5511 I7-11800H 16G 512G 3050 U,58 x 35 x 9 cm; 2.7 Kilograms,1920 x 1080 Pixels,Intel,Intel Core i7,4600 MHz,8,16 GB,512 GB,SSD,NVIDIA,2.7 Kilograms,Gray,19 October 2022,3.7,5,40788
153,Lenovo,Lenovo IdeaPad Gaming 3 - 82K200QCAX,,1920 x 1080 Pixels,AMD,Ryzen 7 5800H,4400 MHz,8,16 GB,512 GB,SSD,NVIDIA,2.25 Kilograms,Black,26 January 2022,,,40782
154,HP,Victus Gaming Laptop,52.29 x 31 x 6.7 cm; 2.4 Kilograms,1920x1080 Pixels,Intel,Intel Core i5,2 GHz,8,,512 GB,512 GB PCIe NVMe SSD,NVIDIA,2.4 Kilograms,Mica Silver,9 November 2023,,,40766
155,HP,Victus Gaming Laptop,52.2 x 30.9 x 6.7 cm; 2.4 Kilograms,1920x1080 Pixels,Intel,Intel Core i5,2 GHz,8,,512 GB,512 GB PCIe NVMe SSD,NVIDIA,2.4 Kilograms,Mica Silver,9 November 2023,,,40766
156,HP,Victus 68U87UA,52.29 x 30.8 x 7 cm; 2.4 Kilograms,1920x1080 Pixels,Intel,Intel Core i5,2 GHz,8,,512 GB,512 GB PCIe NVMe SSD,NVIDIA,2.4 Kilograms,Mica Silver,1 November 2023,,,40766
157,LENOVO,Lenovo LOQ 15IRH8,58 x 35 x 10 cm; 2.4 Kilograms,1920x1080 Pixels,"Intel® Core™ i5-12450H, 8C (4P + 4E) / 12T, P-core 2.0 / 4.4GHz, E-core 1.5 / 3.3GHz, 12MB",Intel Core i5,2 GHz,10,,512 GB,"512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®, SSD",NVIDIA,2.4 Kilograms,Storm Grey,14 December 2023,,,40597
158,DELL,G15-5511 I5-11260H 8G 512G RTX3050 UBU,51.8 x 34.4 x 8.3 cm; 2.5 Kilograms,1920 x 1080 Pixels,Intel,Intel Core i5,4400 MHz,6,8 GB,512 GB,SSD,NVIDIA,2.5 Kilograms,dark shadow Grey,14 February 2023,,,40070
